# rice benchmark results: M3-radix-tree-router
# date: 2026-09-11T13:57:24Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkFasthttpBaseline-12        	105253150	        11.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkFasthttpBaseline-12        	100000000	        11.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12            	14614503	        78.82 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	15348514	        80.77 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	14931780	        80.11 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	13465437	        81.87 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	15159904	        82.01 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	15358304	        79.54 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	15281878	        80.44 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	15332956	        81.11 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	14757333	        80.04 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatch-12            	14581584	        80.87 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12578550	        95.29 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12742144	        96.96 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12487826	        97.38 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	11938194	        99.09 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12393242	        97.02 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	11488777	        96.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12342678	        97.84 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12531175	        97.47 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	12692284	        98.40 ns/op	     352 B/op	       1 allocs/op
BenchmarkRiceDispatchNotFound-12    	11926334	        96.80 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9467617	       127.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9388189	       128.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9380865	       126.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9425091	       128.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9360793	       128.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9335708	       128.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9439384	       127.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9363188	       128.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9434394	       128.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkCtxSetHeader-12            	 9452664	       127.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkMapLookup10-12             	191225282	         6.273 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	192256276	         6.271 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	191354090	         6.271 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	191258642	         6.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	190447358	         6.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	190801423	         6.295 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	190739061	         6.281 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	190366564	         6.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	190809310	         6.279 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12             	191197936	         6.289 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	196217458	         6.045 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	196569237	         6.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	198073038	         6.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	196570928	         6.053 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	197693302	         6.057 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	195142165	         6.087 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	196006222	         6.074 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	194882308	         6.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	196086721	         6.085 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12            	195813001	         6.086 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	188979552	         6.349 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	189728232	         6.309 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	188968615	         6.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	189953479	         6.293 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	189857533	         6.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	191362430	         6.291 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	187855261	         6.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	190209494	         6.330 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	188048768	         6.352 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12           	187722015	         6.363 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12            	13329284	        92.85 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	13240326	        92.92 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	12604654	        93.23 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	12713176	        94.63 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	13153291	        93.58 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	12926664	        94.05 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	12534360	        92.18 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	12992953	        93.62 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	12429028	        93.19 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup10-12            	13092027	        92.63 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	11875798	       102.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	12454963	       101.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	12139420	        99.73 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	12316960	       107.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	10588113	       105.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	12123196	       101.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	11828652	       106.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	12196809	       101.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	11765426	        99.43 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup100-12           	12092740	       101.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	10505097	       109.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11278592	       110.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11366076	       109.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11095640	       109.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	10615554	       110.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11147787	       109.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	10533546	       111.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11085308	       110.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11082493	       110.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1000-12          	11317492	       108.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13126468	        89.80 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13605885	        89.33 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13491230	        89.06 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13513221	        89.32 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13327854	        88.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	14713147	        88.98 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13606887	        88.58 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13582521	        89.61 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13670118	        87.51 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup1Param-12        	13044500	        88.81 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11191915	       109.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11199157	       107.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11215970	       108.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11187250	       107.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11036275	       108.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11328542	       108.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	10466020	       108.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	10972975	       107.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11116462	       108.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookup5Params-12       	11242621	       109.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	14075344	        88.74 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13829132	        88.85 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13922149	        88.95 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	14018384	        88.79 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	12989560	        88.63 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13536836	        89.56 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13775046	        88.61 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13886450	        89.32 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13810101	        89.24 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupWildcard-12      	13674324	        87.82 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12907348	        95.01 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12947398	        93.63 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	13093009	        94.07 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12587533	        95.41 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12393663	        95.17 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12583567	        93.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12725805	        94.61 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	13105014	        94.88 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12863907	        94.99 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeLookupBacktrack-12     	12832663	        94.05 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11231564	       108.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11357576	       106.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11224770	       107.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11218176	       107.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11243886	       107.7 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11233486	       107.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	10976157	       107.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	10777869	       107.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	11281300	       106.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkTreeMiss-12                	10986926	       109.0 ns/op	     352 B/op	       1 allocs/op
PASS
ok  	github.com/vietpham102301/rice-http/bench	211.264s
