# rice benchmark results: M4-middleware-and-groups
# date: 2026-09-12T04:52:35Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkChainDispatch0-12           	14401455	        84.46 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14800888	        83.89 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14516106	        83.00 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14550267	        83.36 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	13763328	        83.26 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14462724	        84.13 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	13327021	        85.42 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14657853	        83.33 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14754090	        85.60 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	14691231	        84.40 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	14431958	        85.38 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	14374534	        84.20 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	14097591	        85.66 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	13235506	        92.48 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	12961429	        88.19 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	12138238	        90.94 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	13192483	        99.31 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	10058794	       120.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11819059	       114.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	10509134	        96.98 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	12010243	        98.13 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	12813451	       105.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	 9858631	       102.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11191018	        89.78 ns/op	     352 B/op	       1 allocs/op
