# rice benchmark results: M5-error-handling
# date: 2026-09-14T15:14:21Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 25.6.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkChainDispatch0-12           	10710715	        96.51 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	11831090	        96.84 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	12471489	        94.75 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	12437719	        96.38 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	13040478	        97.08 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	13401606	        95.79 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	11917140	        99.09 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	12876105	        97.45 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	11780739	       102.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch0-12           	12452211	        97.81 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	12701973	        99.37 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11870346	        98.47 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11795833	       100.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11841159	        99.06 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11711053	        97.42 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11946588	        98.22 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	12639012	        98.96 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	12087903	        99.13 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11953659	        99.13 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch1-12           	11897320	       105.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11529255	       109.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11470574	       119.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	10252722	       105.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11223711	       109.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11281640	       113.4 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	10848837	       109.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11118831	       105.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11902945	       100.6 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	12408010	       101.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5-12           	11099540	        97.92 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	12081560	       100.2 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	11542873	       104.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	12082639	       102.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	11909221	       102.3 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	10851466	       105.5 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	11948670	       103.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	12215936	       105.8 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	10538517	       104.1 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	11401009	       107.9 ns/op	     352 B/op	       1 allocs/op
BenchmarkChainDispatch5Grouped-12    	 9570894	       115.0 ns/op	     352 B/op	       1 allocs/op
BenchmarkBuild1000Routes-12          	    4603	    244251 ns/op	  265002 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    4519	    257020 ns/op	  265002 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    4734	    248407 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    4969	    253919 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    4387	    257601 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5029	    247997 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5150	    245020 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    4770	    246384 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5103	    251931 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkBuild1000Routes-12          	    5036	    242969 ns/op	  265001 B/op	    7503 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9180 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9172 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9110 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9130 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9133 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9121 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9134 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9120 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9172 ns/op	       0 B/op	       0 allocs/op
BenchmarkNoRecoverBaseline-12        	1000000000	         0.9238 ns/op	       0 B/op	       0 allocs/op
