# rice benchmark results: M6-context-pooling
# date: 2026-09-17T18:23:46Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33265922	        35.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33425136	        35.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33325810	        35.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33460630	        35.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33350047	        35.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33177314	        36.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33384066	        36.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33405556	        35.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33400598	        35.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12         	33458259	        35.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	13488544	        82.12 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	14866832	        82.33 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	15087704	        82.70 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	14818816	        81.39 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	15042895	        82.10 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	15024766	        85.52 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	14498210	        81.99 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	14413988	        86.84 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	13504786	        81.91 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12       	14959864	        81.89 ns/op	     240 B/op	       3 allocs/op
PASS
ok  	github.com/vietpham102301/rice-http	26.328s
goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench
cpu: Apple M2 Pro
BenchmarkChainDispatch0-12           	36278784	        33.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36428120	        33.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36488026	        33.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	35906419	        33.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36434065	        33.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36388584	        33.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36466359	        33.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36441534	        33.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	35696755	        33.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch0-12           	36241550	        33.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35391573	        34.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35654772	        34.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35834667	        34.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35626544	        33.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35781908	        34.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35707066	        34.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35261492	        34.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	34964143	        34.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35237677	        34.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch1-12           	35062942	        34.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32556424	        37.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31305300	        37.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32430861	        37.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32572773	        37.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32138695	        37.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32595372	        37.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32661206	        37.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	31808722	        37.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32241921	        37.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5-12           	32731214	        37.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32928924	        37.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32327659	        37.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32638480	        37.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32090209	        37.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkChainDispatch5Grouped-12    	32552598	        37.10 ns/op	       0 B/op	       0 allocs/op
