# rice benchmark results: M7-lifecycle
# date: 2026-09-18T10:30:33Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDispatchConnStateHook/dispatch-12         	32547436	        36.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32091352	        36.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32529507	        37.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32880014	        36.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	33022258	        36.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32507000	        37.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32568096	        37.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32541820	        36.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32561762	        36.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32810715	        36.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	31010822	        39.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30703134	        39.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30615758	        39.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30171158	        40.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30134884	        39.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30519724	        39.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30644850	        39.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30788868	        39.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30438921	        39.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30184976	        39.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32628644	        37.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32166370	        37.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32510265	        36.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32382034	        36.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32553554	        36.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32511661	        36.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32623359	        37.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32586742	        36.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32605999	        36.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32661910	        36.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	13113904	        84.63 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	13230678	        89.73 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	14552311	        85.95 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	14424456	        86.17 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	13984309	        87.84 ns/op	     240 B/op	       3 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	14515814	        87.97 ns/op	     240 B/op	       3 allocs/op
