# rice benchmark results: M8-compare-handler
# date: 2026-09-19T03:54:28Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro
# power: 'Battery Power'
# rice: b131556 (local, via replace)
# github.com/gin-gonic/gin v1.12.0
# github.com/labstack/echo/v5 v5.3.1
# github.com/gofiber/fiber/v3 v3.5.0
# github.com/valyala/fasthttp v1.73.0

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench/compare
cpu: Apple M2 Pro
BenchmarkHandler/static/rice-12         	22531084	        53.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22047981	        55.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	21907471	        53.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22570815	        53.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	21989331	        53.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22572248	        53.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22660909	        53.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22427110	        53.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22593728	        53.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/rice-12         	22668704	        53.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/gin-12          	13493397	        84.76 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13788493	        84.60 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13938273	        84.91 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13968518	        86.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13648273	        83.14 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13107012	        87.38 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13526880	        86.68 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13646126	        83.25 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13938907	        85.29 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/gin-12          	13588731	        83.63 ns/op	      48 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	11164724	       107.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	11188210	       107.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	11233070	       107.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	10974688	       106.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	11241805	       107.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	10588545	       108.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	10679905	       108.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	10967989	       107.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	11111599	       107.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/echo-12         	11111029	       106.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkHandler/static/fiber-12        	18488928	        65.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18432908	        65.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18292066	        65.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18566977	        64.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18121356	        64.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18452430	        64.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18380592	        66.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/static/fiber-12        	18048866	        65.71 ns/op	       0 B/op	       0 allocs/op
