# rice benchmark results: post-M8-static-files
# date: 2026-09-24T19:06:56Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDispatchConnStateHook/dispatch-12         	32196421	        37.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32339782	        37.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32401344	        37.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32439007	        37.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32463616	        37.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32431628	        37.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32427830	        37.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	32445292	        37.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	31665193	        37.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch-12         	30998673	        37.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30552133	        40.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30270891	        40.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30503077	        40.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30384234	        40.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30332616	        40.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	29309486	        39.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30511479	        40.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30426798	        40.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	29956158	        40.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchConnStateHook/dispatch+connstate-12         	30098540	        40.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31629685	        38.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31746100	        37.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31582860	        38.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31717328	        38.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32245387	        38.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	32139915	        37.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31856820	        38.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31790184	        38.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31348542	        38.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/pooled-12                  	31550474	        38.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchPooledVsUnpooled/unpooled-12                	14528115	        83.44 ns/op	     240 B/op	       3 allocs/op
